                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.2137,                0.96133,                 1.5556,                0.91343,                0.84452,                0.92769,                 0.6658,                0.99782,                0.86809,                 1.4075,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.1866,                0.99991,                 1.5794,                0.91546,                0.84178,                0.93892,                0.70331,                0.93334,                0.81834,                 1.3539,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.1043,                0.95321,                 1.5019,                0.88033,                0.85781,                0.93414,                0.66736,                0.99525,                 0.8364,                 1.4245,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.1706,                0.93556,                 1.5538,                0.83336,                0.77753,                0.87348,                 0.6637,                0.93848,                0.93224,                 1.3731,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.2058,                 0.9552,                 1.5561,                0.88307,                0.90459,                0.94389,                0.68853,                0.97424,                0.85072,                 1.3689,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.1585,                0.94399,                 1.5309,                0.90086,                0.86693,                0.95108,                0.69362,                 1.0111,                0.78954,                 1.4138,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.2038,                0.94554,                 1.5378,                 0.9034,                0.86926,                0.94886,                 0.7224,                0.90689,                0.80315,                 1.3283,               0.001806,               0.001806,               0.001806
                     52,                 1.1446,                0.90597,                 1.5188,                0.91244,                0.90459,                0.95839,                0.68937,                0.99471,                0.75451,                 1.3956,               0.001802,               0.001802,               0.001802
                     53,                 1.1073,                0.87941,                 1.4763,                 0.9169,                0.86219,                0.93907,                0.68649,                0.92894,                0.83905,                 1.3484,               0.001798,               0.001798,               0.001798
                     54,                  1.094,                0.87954,                 1.4938,                 0.9238,                0.89399,                0.96056,                0.70542,                0.94184,                0.76384,                 1.3343,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.1204,                  0.832,                 1.4659,                 0.9098,                0.91873,                0.96119,                 0.7278,                0.90262,                0.74692,                 1.3143,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.0671,                0.84658,                 1.4626,                0.74085,                0.85866,                0.87658,                0.61908,                 1.0088,                 1.0783,                 1.4039,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.0812,                0.86423,                  1.466,                0.89011,                0.90106,                0.95489,                0.72909,                0.85656,                0.85106,                 1.2736,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.0328,                0.82455,                  1.398,                0.91413,                0.82752,                0.94588,                0.70857,                0.88846,                0.74676,                 1.3157,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.1198,                0.87784,                 1.4909,                0.94517,                0.87633,                0.96521,                0.71738,                0.94391,                 0.7086,                 1.3432,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.0861,                 0.8086,                 1.4697,                0.90579,                0.87279,                0.95753,                0.69999,                0.97271,                0.72187,                 1.3925,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.0724,                  0.823,                 1.4282,                0.89732,                0.89547,                0.96012,                0.71113,                0.93087,                0.73058,                 1.3436,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.0642,                0.79436,                 1.4181,                0.84365,                0.81988,                0.87364,                0.63585,                0.96511,                 1.0007,                 1.3702,              0.0017624,              0.0017624,              0.0017624
                     63,                 1.0282,                0.79156,                  1.411,                0.85403,                0.80212,                 0.8672,                0.64701,                0.99101,                 1.0657,                 1.3746,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.0423,                0.78037,                 1.4385,                0.92948,                0.88486,                0.96038,                0.74042,                 0.8442,                0.67194,                 1.2632,              0.0017545,              0.0017545,              0.0017545
                     65,                 1.0181,                 0.8394,                 1.4417,                0.90723,                0.90813,                0.95814,                  0.728,                0.85942,                0.71872,                 1.2876,              0.0017505,              0.0017505,              0.0017505
                     66,                 1.0303,                0.79887,                 1.3751,                0.94421,                0.89707,                0.96102,                0.73201,                0.86501,                0.68456,                 1.2773,              0.0017466,              0.0017466,              0.0017466
                     67,                 1.0402,                0.75426,                 1.3915,                0.93301,                0.88588,                0.95979,                0.73009,                0.87087,                0.78358,                 1.2988,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.0143,                0.78848,                 1.4357,                0.95848,                0.89737,                0.96799,                0.74516,                0.84312,                0.65293,                 1.2705,              0.0017386,              0.0017386,              0.0017386
                     69,                 1.0141,                0.78821,                 1.4121,                0.94561,                0.89399,                0.97134,                0.75188,                0.85194,                 0.6809,                 1.2528,              0.0017347,              0.0017347,              0.0017347
                     70,                 0.9985,                0.76713,                 1.3874,                0.90167,                0.93286,                0.96654,                 0.7491,                 0.8899,                0.68054,                 1.3022,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.0563,                0.79989,                 1.4333,                0.85683,                0.91519,                0.95552,                0.75116,                0.83072,                0.71469,                   1.25,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.0184,                0.76874,                  1.411,                0.90776,                0.93897,                0.97526,                0.74866,                 0.8939,                0.67337,                 1.2869,              0.0017228,              0.0017228,              0.0017228
                     73,                 1.0421,                0.73801,                 1.3565,                 0.9026,                0.92226,                0.96732,                0.74794,                0.82813,                0.67833,                 1.2622,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.0398,                0.82369,                 1.4013,                0.95234,                0.91873,                0.97902,                0.77139,                0.81149,                0.61747,                 1.2453,              0.0017149,              0.0017149,              0.0017149
                     75,                0.96745,                0.74289,                 1.3597,                0.93061,                0.94778,                0.97837,                0.75982,                0.83471,                  0.623,                 1.2301,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.0136,                0.76116,                 1.3933,                0.93341,                0.94109,                0.97446,                 0.7673,                0.79908,                 0.5833,                 1.1952,               0.001707,               0.001707,               0.001707
                     77,                0.97984,                0.72302,                  1.371,                0.93089,                 0.9258,                0.96525,                0.74625,                0.81627,                0.65554,                 1.2208,               0.001703,               0.001703,               0.001703
                     78,                 1.0048,                0.76209,                 1.3871,                0.96291,                0.91732,                0.97342,                0.76071,                0.85839,                0.63873,                 1.2768,               0.001699,               0.001699,               0.001699
                     79,                 1.0108,                0.73547,                 1.4102,                0.92151,                0.91519,                0.96609,                0.72442,                0.90784,                0.65925,                  1.266,              0.0016951,              0.0016951,              0.0016951
                     80,                0.96086,                0.71236,                 1.2875,                0.88665,                0.95053,                0.96782,                0.75383,                0.82895,                0.62027,                 1.2406,              0.0016911,              0.0016911,              0.0016911
                     81,                0.94108,                0.69405,                 1.3442,                0.93785,                0.93286,                0.98082,                0.78539,                 0.7917,                0.58771,                 1.2101,              0.0016872,              0.0016872,              0.0016872
                     82,                0.98386,                0.74765,                 1.3968,                0.93394,                0.91166,                0.97149,                0.76707,                0.82393,                  0.623,                 1.2425,              0.0016832,              0.0016832,              0.0016832
                     83,                0.96491,                0.73644,                 1.3729,                 0.9508,                0.93286,                0.97925,                0.78552,                0.76967,                0.61653,                 1.1886,              0.0016792,              0.0016792,              0.0016792
                     84,                0.94839,                0.70263,                 1.3497,                0.91673,                0.93361,                0.96604,                 0.7747,                0.78225,                0.65435,                 1.2023,              0.0016753,              0.0016753,              0.0016753
                     85,                0.96285,                0.74066,                 1.3201,                 0.9246,                0.90999,                0.97627,                0.77387,                0.78389,                0.77449,                 1.2181,              0.0016713,              0.0016713,              0.0016713
                     86,                0.97809,                0.70472,                  1.345,                0.95864,                0.92226,                0.98245,                0.78603,                0.78304,                0.57796,                 1.1959,              0.0016674,              0.0016674,              0.0016674
                     87,                0.93901,                0.72648,                  1.314,                0.96425,                  0.947,                  0.986,                0.79758,                0.76661,                0.55509,                 1.1814,              0.0016634,              0.0016634,              0.0016634
                     88,                0.90248,                0.68292,                 1.2946,                0.93252,                0.95406,                0.98116,                0.79939,                0.75966,                0.54696,                  1.175,              0.0016594,              0.0016594,              0.0016594
